µØµã,¶ÌÆÀ,³ö·¢Ê±¼ä,ÌìÊý,ÈË¾ù·ÑÓÃ,ÈËÎï,Íæ·¨,ä¯ÀÀÁ¿
Æ½Ò£,¸ú×ÅÊ«ÈËÀî³ÖÕý±ÊÏÂµÄ¡¶Ã÷ÔÂÖðÈËÀ´¡¤ÐÇºÓÃ÷µ­¡·£¬ÁìÂÔÒ»·¬Æ½Ò£¹Å³ÇµÄÔªÏü½Ú,/2019/02/17,2,500,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?ÂþÓÎ?¹ÅÕò?ÉãÓ°?ÃÀÊ³?´º½Ú?¶¬¼¾,7997
Ì«Ô­,2019Äê´º½Ú£¬ÎÒÔÚÉ½Î÷ÄãÔÚÄÄ£¿,/2019/02/01,8,2000,¶À×ÔÒ»ÈË,Éî¶ÈÓÎ?ÇîÓÎ?ÃÀÊ³?´º½Ú?¶¬¼¾,4012
Î÷°²,[ÎÒÔÚÎ÷°²¹ý´óÄê]Ò»ÈÕ¿´¾¡³¤°²»¨,/2019/02/06,4,2000,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?´º½Ú,5685
ÏÃÃÅ,ÏÃÃÅÇ××Ó5ÈÕ×ÔÓÉÐÐ,/2019/02/10,5,2000,¼ÒÍ¥,µÚÒ»´Î?´º½Ú,3651
Î÷°²,¡¾Î÷°²¡¿¸¡ÉúÈýÈÕ£¬³¤°²³ÇÀïÑ°¹Å·ç,/2018/11/02,3,2000,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?Í½²½,7449
ÄÏ¾©,¡¾³©ÓÎ½­ËÕ¡¿È¥Áù³¯¹Å¶¼Ñ°µÛÍõÀúÊ·£¬µ½ÇØ»´ºÓÅÏÃÙ°ÙÐÕÏ°Ë×,/2019/02/16,3,1500,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?ÉãÓ°?ÃÀÊ³?´º½Ú,52000
Ìì½ò,Ò»¸öÈËÈ¥ÂÃÐÐ£¬ÄãºÃÌì½ò,/2019/02/05,3,720,¶À×ÔÒ»ÈË,µÚÒ»´Î?¶ÌÍ¾ÖÜÄ©?ÂþÓÎ?ÉãÓ°?ÈËÎÄ?´º½Ú,121000
ÖØÇì,´øÒ»°ëµÄÎÒºÍÄã£¬´©Ô½Ê±¿ÕÂþ²½É½³Ç£¨º£Á¿ÃÀ¾°Í¼+½ÇÉ«·´´®Í¼£©,/2019/02/15,7,2000,¹ëÃÛ,¹ÅÕò?ÉãÓ°?ÈËÎÄ,15000
ÀË¿¨×Ó,¡°±ù¶³ÐÇÇò¡±-¶¬¼¾Î÷²Ø×Ô¼Ý¼Ç,/2019/02/05,5,2000,ÇéÂÂ,Éî¶ÈÓÎ?ÇîÓÎ?×Ô¼Ý?ÂþÓÎ?ÉãÓ°?ÃÀÊ³?´º½Ú?¶¬¼¾?º®¼Ù,17000
Àö½­,¶¼ÒÔÎªÀö½­Ö»ÊÇÄêÇáÈËµÄ¡°ÑÞÓö¡±½á¹ûë£ñóÀÏÈËÒ²Ï²»¶Õâ¹ÅÕòÆøÏ¢£¡,/2019/01/25,2,1000,Ç××Ó,µÚÒ»´Î?¹ÅÕò?ÃÀÊ³?´º½Ú,18000
¹ãÖÝ,{Ä¬ÑÔ}Ê³ÔÚ¹ãÖÝ,/2019/02/05,4,2000,ÈýÎåºÃÓÑ,ÃÀÊ³?´º½Ú,22000
Î÷Ë«°æÄÉ,´ø×ÅÀÏÈËÂÃÐÐÎ÷Ë«°æÄÉ³Ô×¡ÐÐÓÎÈçºÎ°²ÅÅ£¿½â¾ö·½°¸¶¼ÔÚÕâ¶ùÁË£¡,/2019/01/27,10,2000,¼ÒÍ¥,Éî¶ÈÓÎ?×Ô¼Ý?ÃÀÊ³?ÈËÎÄ?´º½Ú,21000
±±¾©,±±¾©~15ÄêºóµÄÏà·ê,/2019/02/05,5,2800,ÇéÂÂ,Éî¶ÈÓÎ?ÂþÓÎ?¹ÅÕò?ÃÛÔÂ?ÈËÎÄ?´º½Ú?¶¬¼¾,15000
ÄÏÄþ,2018ÎÒÅã¸¸Ä¸È¥ÂÃÐÐ----ÄÏÄþ±±º£º£¿Ú,/2018/12/21,8,2500,¼ÒÍ¥,ÓÎÂÖ?»·ÓÎ?ÈËÎÄ?º£±õº£µº?Ê¥µ®?¶¬¼¾,1030
¹ðÁÖ,±ÏÒµ¼¾£ºÊôÓÚÎÒÃÇµÄ¹ðÁÖ±ÏÒµÖ®ÂÃ--ÃÀÍ¼¼Ó¹¥ÂÔ,/2019/02/12,4,1580,¹ëÃÛ,¹ÅÕò?ÉãÓ°?ÃÀÊ³?ÎÂÈª?º®¼Ù,12000
»Ý°²,KK2019Äê´º½Ú³©ÐÐ,/2019/02/07,5,1900,¹ëÃÛ,Í½²½?»·ÓÎ?ÃÀÊ³?ÈËÎÄ?´º½Ú,11000
ÎäÒÄÉ½,´ø×ÅÀÏÂèÈ¥ÂÃÐÐ£¨×îÃÀ¸ßÌúÏß£º»ÆÉ½£¨ºê´å£©-æÄÔ´-ÎäÒÄÉ½£©,/2019/01/25,10,2500,¼ÒÍ¥,µÚÒ»´Î?Éî¶ÈÓÎ?ÂþÓÎ?¹ÅÕò?ÉãÓ°?ÈËÎÄ?´º½Ú,8394
¹óÑô,²»Ò»ÑùµÄÃçÕ¯Íæ·¨£¬ÀÊµÂ£¬Î÷½­£¬ÇàÑÒ,/2019/02/05,5,1500,¼ÒÍ¥,¹ÅÕò?ÃÀÊ³?ÈËÎÄ?´º½Ú,4593
åßÁ£,Ò»ÈËÈý¹úÆß³Ç19ÌìµÄÂÃÐÐÖ®Â·--ÄÇÐ©²È¹ýµÄ¿ÓºÍ±»Ì×µÄÂ·Ö®¼íÆÒÕ¯åßÁ£Îâ¸ç¿ßÕ¾,/2019/01/20,5,2000,¶À×ÔÒ»ÈË,µÚÒ»´Î?Éî¶ÈÓÎ?ÇîÓÎ?ÈËÎÄ?º®¼Ù,921
¹þ¶û±õ,µÈÁËÈýÄêµÄ±ù³ÇÖ®ÐÐ,/2019/02/06,4,2000,ÇéÂÂ,ÃÛÔÂ?ÃÀÊ³?¶¬¼¾?´º½Ú,1499
ºáµê,2019´º½ÚÈ¥ÄÄ¶ù£¿µ±È»ÊÇ¹ä´º½Úºáµê´óÃí»á£¡£¡,/2019/02/08,2,1000,¼ÒÍ¥,¶ÌÍ¾ÖÜÄ©?ÇîÓÎ?×Ô¼Ý?ÂþÓÎ?¹ÅÕò?ÉãÓ°?¿çÄê?´º½Ú?Ì¤´º?¶¬¼¾?º®¼Ù,12000
Ìì½ò,?ÐÂÄêÓÎ×ßÔÚ¿Õ³ÇµÄÖ£ÖÝ&ÏÂÑ©µÄÌì½ò,/2019/02/06,9,2500,¼ÒÍ¥,ÃÀÊ³?Í½²½?ÈËÎÄ?»·ÓÎ?ÎÂÈª?´º½Ú,2436
Ï²ÖÞ,200Í¼×Ö´óÀíÓÎ£º¹Å³ÇÂþ²½/»·¶ýº£¡¢Ì½Ñ°»Æ²³ÉòÌÚÅÄÏ·È¡¾°µØ,/2018/10/26,4,1500,¶À×ÔÒ»ÈË,»·ÓÎ?ÂþÓÎ?¹ÅÕò?ÉãÓ°?ÈËÎÄ?ÏÄ¼¾,3.3
Æ½Ò£,2019ÖÐ¹úÄê£¬Âþ²½Æ½Ò£¹Å³Ç£¬´ø×Å°®¡£(¸½Â·Ïß¡¢½»Í¨¡¢×¡ËÞ¡¢ÃÀÊ³¡¢ÌØ²ú¹¥ÂÔ£©,/2019/02/06,2,500,¼ÒÍ¥,×Ô¼Ý?¹ÅÕò?ÉãÓ°?ÃÀÊ³?´º½Ú?¶¬¼¾,2635
Çàº£ºþ,Èç¹ûÄãµÚÒ»´ÎÀ´Çàº£ÒªÔõÃ´ÍæÄØ£¿À´£¬ÎÒ¸æËßÄã...,/2018/07/27,6,2980,¹ëÃÛ,µÚÒ»´Î?Êî¼Ù,27000
ÇåÂõ,Ò»ÈËÈý¹úÆß³Ç19ÌìµÄÂÃÐÐÖ®Â·--ÄÇÐ©²È¹ýµÄ¿ÓºÍ±»Ì×µÄÂ·Ö®Ì©¹úÇåÂõÇåÀ³Õ¾,/2019/01/11,5,2000,¶À×ÔÒ»ÈË,Éî¶ÈÓÎ?ÇîÓÎ?¹ÅÕò?ÈËÎÄ?ÎÂÈª?¶¬¼¾?º®¼Ù,31000
ÏÃÃÅ,2018-11-13ÏÃÃÅÁùÈÕ×ÔÓÉÐÐ£¨Á½´óÁ½Ð¡£©,/2018/11/13,6,2000,Ç××Ó,ÇîÓÎ?¶¬¼¾,18000
ºê´å,¶ÀÐÐ»ÕÖÝ£¬Çà÷ì°×Ç½£¨¸½»ÆÉ½µÇÉ½¹¥ÂÔ£¬ºê´å£¬æÄÔ´£©,/2018/04/17,6,1500,¶À×ÔÒ»ÈË,ÇîÓÎ?¹ÅÕò?ÉãÓ°?ÃÀÊ³?Ì¤´º?ÇåÃ÷,28000
ÕÅ¼Ò¸Û,ÌýÉ½¸è£¬ÅÝÎÂÈª£¬ÉÍÌÒ»¨£¬¹ä¹Å½Ö£¬ÓÎ¹ÅËÂ£¬ÎåÏîÈ«ÄÜÁË½âÏÂ,/2019/01/28,3,2000,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?ÉãÓ°?ÃÀÊ³?ÎÂÈª,49000
Æ½Ò£,2019Æ½Ò£ÖÐ¹úÄêÈ«ÐÂ¹¥ÂÔ~¡¾½»Í¨+×¡ËÞ+Â·Ïß+ÌØ²ú+ÃÀÊ³+ÖÐ¹úÄê»î¶¯°²ÅÅ¡¿,/2019/01/28,3,1500,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?ÂþÓÎ?¹ÅÕò?ÉãÓ°?´º½Ú,12000
ÕÄÖÝ,¡¾¸£½¨×ÔÓÉÐÐ¡¿Óö¼û»¨ÑùÕÄÖÝ£¬ÍÁÂ¥ºÍÔÆË®Ò¥¾Í¸ÃÕâÑùÍæ,/2019/01/28,3,1200,ÇéÂÂ,Éî¶ÈÓÎ?¹ÅÕò?ÈËÎÄ?´º½Ú?º®¼Ù,15000
ÕÄÖÝ,ÏòÍùµÄÉú»î£¬´ó¸Å¾ÍÊÇ£¬²»ÏÛÄ½ÈÎºÎÈË¡­¡­,/2019/04/29,6,2703,Ç××Ó,µÚÒ»´Î?Éî¶ÈÓÎ?×Ô¼Ý?ÎåÒ»,1965
³É¶¼,³É¶¼£¬´ø²»×ßµÄÊÇÓÆÏÐã«ÒâµÄÉú»î,/2018/07/20,5,1400,¶À×ÔÒ»ÈË,Éî¶ÈÓÎ?±ÏÒµÓÎ?ÉãÓ°?ÏÄ¼¾,43000
Öéº£,ÈýÌì¶þÍí£¬´øÄãÔÚ¹ã¶«µÄÂí¶û´ú·ò----¶«°ÄµºÍæ¸ö¹»,/2019/01/18,3,2000,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?´º½Ú,28000
¹ðÁÖ,¹ðÁÖÂÃÓÎ±Ø¿´µÄ×ÔÓÉÐÐ¹¥ÂÔ£¨ÕýÈ·µÄÂÃÓÎ·½Ê½£©Áú¼¹ÌÝÌïÑôË·Î÷½Ö,/2019/01/23,4,2000,¼ÒÍ¥,µÚÒ»´Î?¶ÌÍ¾ÖÜÄ©?ÇîÓÎ?Í½²½?ÂþÓÎ?±ÏÒµÓÎ?¹ÅÕò?ÉãÓ°?¿çÄê?´º½Ú?Ì¤´º?¶ËÎç?ÏÄ¼¾?Êî¼Ù,28000
´óÁ¬,´óÁ¬ÄÌ°ÖÖÜÄ©´øÍÞ±¦¹ó¾­Ñé·ÖÏí´óÁ¬¾°µãµ¥ÈÕÓÎ¡ª¡ª´óÁ¬ÀÏ»¢Ì²º£Ñó¹«Ô°,/2018/06/02,1,150,Ç××Ó,¶ÌÍ¾ÖÜÄ©?ÇîÓÎ?ÈËÎÄ?ÏÄ¼¾,13000
´óÁ¬,´óÁ¬ÄÌ°ÖÖÜÄ©´øÍÞ±¦¹ó¾­Ñé·ÖÏí´óÁ¬¾°µãµ¥ÈÕÓÎ¡ª¡ª´óÁ¬ºÚÊ¯½¸×ÔÈ»²©Îï¹Ý,/2018/12/02,1,20,Ç××Ó,¶ÌÍ¾ÖÜÄ©?ÇîÓÎ?ÈËÎÄ?¶¬¼¾,7764
»ÆÉ½Çø,º®¼ÙÓÎ~»ÆÉ½ÐÐ,/2019/01/14,4,2000,¼ÒÍ¥,¶ÌÍ¾ÖÜÄ©?ÇîÓÎ?ÂþÓÎ?¶¬¼¾?º®¼Ù,2927
´óÁ¬,´óÁ¬ÄÌ°ÖÖÜÄ©´øÍÞ±¦¹ó¾­Ñé·ÖÏí´óÁ¬¾°µãµ¥ÈÕÓÎ¡ª¡ª´óÁ¬É­ÁÖ¶¯ÎïÔ°Ò»ÈÕÓÎ¼Ç,/2018/09/22,1,150,Ç××Ó,¶ÌÍ¾ÖÜÄ©?ÇîÓÎ?ÖÐÇï½Ú,37000
¹þ¶û±õ,±±¾©-¹þ¶û±õ-Ñ©¹È-Ñ©Ïç5ÈÕÓÎ,/2018/12/23,5,2000,ÈýÎåºÃÓÑ,µÚÒ»´Î?»¬Ñ©,8834
Î«·»,´º½Ú¼ÙÆÚÎ«·»Ì©»ª³Ç¡¢°²ÇðÇàÔÆÉ½Á½ÈÕÓÎ,/2013/01/23,2,200,ÇéÂÂ,¶ÌÍ¾ÖÜÄ©?ÇîÓÎ?Í½²½?ÉãÓ°?»¬Ñ©?´º½Ú,8999
³É¶¼,Âþ²½ÈØ³Ç£¬ÌåÎ¶³É¶¼ÃÀÊ³ÓëÃÀºÃ,/2018/11/24,4,1500,¼ÒÍ¥,Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©?ÃÀÊ³?Ê¥½Ú?Ê¥µ®,29000
µ¤¶«,ÇåÃ÷µ¤¶«Ñ¼ÂÌ½­¡¢·ï»ËÉ½×Ô¼Ý¶þÈÕÓÎ,/2016/04/03,2,500,¼ÒÍ¥,¶ÌÍ¾ÖÜÄ©?ÇîÓÎ?×Ô¼Ý?ÇåÃ÷,13000
º¼ÖÝ,º¼ÖÝ¡ª¡ªÃ»ÓÐÑ©µÄ¶¬¼¾Ò²»á×íÈË,/2019/01/12,4,2200,Ç××Ó,¶¬¼¾?º®¼Ù,11000
·áÄþ,ºÎÐëÅÜµ½Ò£Ô¶µÄ¶«±±È¥¿´Ñ©£¿±±¾©Õâ¸öÁÚ¾Ó±ãÓÐ×îÃÀÑ©Ïç,/2019/01/10,3,2500,ÇéÂÂ,ÉãÓ°?ÃÀÊ³?¶¬¼¾,43000
Îäºº,Îäºº¹ýÔç£¬´ú±íÌ¼Ë®»¯ºÏÎï³Ô³ÅÄã¡£,/2018/11/01,2,1000,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?Í½²½?ÃÀÊ³?ÈËÎÄ?Ê¥½Ú,15000
áéÖÝ,áéÖÝ|×ß²»ÍêµÄÉ½Ë®ÃÀ¾°£¬¶Á²»ÍêµÄÀúÊ·ÈËÎÄ,/2018/12/22,3,1300,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?×Ô¼Ý?¹ÅÕò?ÉãÓ°?Ê¥µ®,11000
ÖØÇì,ÖØÇì£¬ºÃ¾Ã²»¼û,/2018/04/28,1,2000,¶À×ÔÒ»ÈË,ÉãÓ°?ÃÀÊ³?ÈËÎÄ?ÏÄ¼¾,7058
ÎÞÎý,ÎÞÎý´Ò´Ò~ÎÒÓë¹ëÃÛÃÇµÄ·ðÏµÂÃÐÐ,/2018/06/08,3,2500,¹ëÃÛ,µÚÒ»´Î?Éî¶ÈÓÎ?Í½²½?ÂþÓÎ?ÉãÓ°?ÃÀÊ³?ÈËÎÄ?¶ËÎç,9578
ÖØÇì,ÖØÇì³É¶¼ÀÖÉ½5Ìì¹¥ÂÔ,/2019/01/10,5,2500,ÇéÂÂ,µÚÒ»´Î?¶¬¼¾,76000
Ïã¸Û,¹ãÖÝÈË´øÄãÓÎÏã¸Û£¨¿ÆÆÕÊ½¸É»õ£¬ÊµÓÃ¹¥ÂÔ£©,/2017/05/10,1,2000,¶À×ÔÒ»ÈË,¶ÌÍ¾ÖÜÄ©?¹ºÎï,11000
ÄÏ¾©,¿çÄêÄÏ¾©ÓÎ,/2018/12/31,4,900,¶À×ÔÒ»ÈË,ÇîÓÎ?¿çÄê,1961
ÒË´º,³Ã×ÅÖÜÄ©£¬µ½ÖÐ¹úÎÂÈªÖ®Ïç¸ÐÊÜÒ»´ÎÇ§¹ÅÇé³Õ,/2019/01/06,3,1980,ÇéÂÂ,µÚÒ»´Î?¶ÌÍ¾ÖÜÄ©?ÉãÓ°?¶¬¼¾,74000
ÒË´º,ÓÆÏÐËÄÈÕ£¬Íæ×ªÒË´ºÕâ×ùÉî²Ø²»Â¶µÄÎÂÅ¯Ð¡³Ç,/2019/01/03,4,1500,ÈýÎåºÃÓÑ,µÚÒ»´Î?Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©?×Ô¼Ý?ÉãÓ°?ÎÂÈª?¿çÄê?´º½Ú?¶¬¼¾?º®¼Ù,31000
À¥Ã÷,ÃÈ±¦¶¬ÐÐ|´øÄãÍæ×ªËÄ¼¾Èç´ºµÄÀ¥Ã÷¹Åµá~,/2018/12/15,4,2000,Ç××Ó,µÚÒ»´Î?ÎÂÈª,22000
¿ª·â,áÔÉ½ÐÐÎÒ¿´ÐÐ¡ª¡ª¼ÇºÓÄÏµÇ·âÖ£ÖÝ¿ª·â5ÈÕÓÎ,/2018/10/02,5,1400,ÈýÎåºÃÓÑ,µÚÒ»´Î?ÇîÓÎ?ÂþÓÎ?¹úÇì,3363
³É¶¼,³É¶¼£¬³É¶¼£¬´ø²»×ßµÄÖ»ÓÐÄã£¡,/2018/12/25,3,1500,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?ÃÀÊ³?ÈËÎÄ?¶¬¼¾,44000
ÏÃÃÅ,Ëµ×ß¾Í×ß£¬ÏÃÃÅÐÝÏÐÓÎ,/2019/01/04,6,2400,¼ÒÍ¥,µÚÒ»´Î?¶¬¼¾,4565
ÌÚ³å,È¥ÌÚ³ååâåËÒ»³¡ÇïÌìµÄÍ¯»°,/2018/12/29,4,1500,ÈýÎåºÃÓÑ,Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©?×Ô¼Ý?Í½²½?ÉãÓ°?¿çÄê,26000
Ïã¸ñÀïÀ­,Å£¸çÎ÷ÐÐÂþ¼Ç£¨10ÔÂ1ÈÕ-10ÔÂ5ÈÕ£©,/2018/08/13,1,200,¶À×ÔÒ»ÈË,×Ô¼Ý?¹úÇì,6777
µÇ·â,ÉñÖÝÎåÔÀÖ®ÖÐÔÀáÔÉ½--ÉÙÁÖËÂ,/2018/12/30,3,2400,ÇéÂÂ,ÇîÓÎ?¿çÄê,5741
Îäºº,¡ºÎäºº¡»´Ò´Ò×ß¹ý£¬24Ð¡Ê±µÄ¸¡¹âÂÓÓ°£¬Ò»³¡³þºº´óÐã,/2018/12/24,1,1000,¶À×ÔÒ»ÈË,¶ÌÍ¾ÖÜÄ©?ÃÀÊ³?ÈËÎÄ?Ê¥µ®,688
ËÕÖÝ,¹ÃËÕÑÌÓê£¬ÔÂÌ¨»¨é¿£¬½õÉªÄê»ªË­Óë¶È,/2016/04/08,3,336,¶À×ÔÒ»ÈË,µÚÒ»´Î?¶ÌÍ¾ÖÜÄ©?ÇîÓÎ?¹ÅÕò?ÉãÓ°?ÈËÎÄ?Ì¤´º?ÇåÃ÷,17000
Ïã¸ñÀïÀ­,Å£¸çÎ÷ÐÐÂþ¼Ç£¨9ÔÂ25ÈÕ-9ÔÂ30ÈÕ£©,/2018/08/13,99+,200,¶À×ÔÒ»ÈË,×Ô¼Ý?¹úÇì,8460
°ÄÃÅ,¡¾¸É»õ£¡¡¿ÖÐ½±°ÄÃÅº½¿Õ½õÀð£¬ÏàÔ¼Ê¥µ®°ÄÃÅµÄ3Ìì2Ò¹£¬Ò»³¡ç²Àö·±»ªµÄÃÎÖ®»Ã¾µ,/2018/12/24,1,2000,¶À×ÔÒ»ÈË,µÚÒ»´Î?Éî¶ÈÓÎ?Í½²½?ÂþÓÎ?¹ºÎï?ÉãÓ°?ÃÀÊ³?Ê¥µ®,29000
ÈýÑÇ,ÌÓÀëÒõÀäµÄ³É¶¼£¬µ½ÈýÑÇÏíÊÜÕâ¸ö¶¬Ìì£¡,/2018/12/14,4,2500,Ç××Ó,Éî¶ÈÓÎ?ÃÀÊ³?º£±õº£µº?¶¬¼¾,38000
³ÐµÂ,¡¾³ÐµÂ¡¿ÂíÕòÖ®¶¬£¬·ç¾°²»¾¡,/2019/12/30,2,1800,¼ÒÍ¥,µÚÒ»´Î?Éî¶ÈÓÎ?¶ÌÍ¾ÖÜÄ©?×Ô¼Ý?ÉãÓ°?¿çÄê,12000
Àö½­,¡¾19Äê¶¨ÖÆÌ¨Àú¡¿ËÕÕÆ¹ñ´øÄãÖÖ²ÝÀö½­ÂÃÓÎ×îÃÀÂÃÅÄ´ò¿¨µØÈ«¹¥ÂÔ£¡£¡£¡,/2019/01/07,3,999,¹ëÃÛ,Éî¶ÈÓÎ?ÇîÓÎ?¹ÅÕò?ÉãÓ°?ÃÀÊ³?ÈËÎÄ?ÉÍ·ã?ÉÍÇï?ÖÐÇï½Ú?¶¬¼¾?º®¼Ù,10000
ÏÃÃÅ,"Â·ÏßºÍ·ÑÓÃ³¬ÏêÏ¸µÄÏÃÃÅÈýÌìÐÐ£ºº¬ÏÃ´ó,ÔøØÈ,ÄÏÆÕÍÓËÂ,ÎåÀÏ·å,¹ÄÀËÓìµÈ",/2018/12/30,3,1200,ÈýÎåºÃÓÑ,µÚÒ»´Î?¶ÌÍ¾ÖÜÄ©?ÃÀÊ³?º£±õº£µº?¿çÄê,26000
ÒË´º,¡¾½­Î÷.ÒË´º¡¿Ã÷ÔÂ´¦´¦ÓÐ£¬Î¨ÓÐÒË´ºÔÂ×îÃ÷,/2018/12/27,4,2000,ÈýÎåºÃÓÑ,ÈËÎÄ?ÎÂÈª,13000
ÖØÇì,°ÍÊñÖ®¶¬ÂÃ£¨Ìì¸®³É¶¼¡¢ÀÏÖØÇì£©,/2018/12/25,5,2000,¹ëÃÛ,µÚÒ»´Î?ÇîÓÎ?¹ÅÕò?¹ºÎï?ÃÀÊ³?¿çÄê?¶¬¼¾,3819
·áÄþ,Íæ±ùÑ©¿´ÑÝ³ö³Ô¿¾Ñò·ÅÑÌ»¨¿çÄêÐÂ»¨ÑùÍæ×ªÖÐ¹úÂíÕò±ù»ð½Ú,/2018/12/30,3,1000,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?×Ô¼Ý?ÃÀÊ³?ÈËÎÄ?º®¼Ù,35000
³É¶¼,¸úÎÒÔÚ³É¶¼µÄ½ÖÍ·×ßÒ»×ß£¬Ö±µ½ËùÓÐµÄÃÀÊ³¶¼³ÔÍêÁËÔÙ»ØÍ·,/2018/12/09,3,2500,ÇéÂÂ,Éî¶ÈÓÎ?ÃÀÊ³?¶¬¼¾,37000
ÏÃÃÅ,Ò»×ù³ÇÊÐ£¬2¸öÈË£¬Âþ²½ÔÚÏÃÃÅ,/2019/01/04,7,2500,ÇéÂÂ,ÃÛÔÂ?ÆïÐÐ?Í½²½?ÉãÓ°?µÚÒ»´Î?ÃÀÊ³?¶¬¼¾?ÂþÓÎ?ÈËÎÄ,4471
Ïã¸Û,¡¾ÐÂÄêÆí¸£¡¿Á¬¸ÛÐÇ¶¼È¥ÉÏÏãÆíÔ¸µÄ5×ùËÂÃí£¬¾ÝËµÓÐÇó±ØÓ¦³¬ÁéÑé£¡,/2019/01/02,1,300,¼ÒÍ¥,¹ºÎï?ÃÀÊ³?º£±õº£µº?¶ÌÍ¾ÖÜÄ©?ÉãÓ°?Í½²½?ÈËÎÄ?´º½Ú?º®¼Ù,60000
ãò¹Áºþ,5ÈÕÓÎ,/2018/12/04,5,2380,ÈýÎåºÃÓÑ,¹ÅÕò?ÉãÓ°?ÂþÓÎ,105000
³É¶¼,×ø×Å¸ßÌúÍæ³É¶¼£¬ËÄÌìÈýÒ¹ÏíÊÜµØµÀ³É¶¼Î¶,/2018/11/15,4,2800,ÇéÂÂ,Éî¶ÈÓÎ?¹ºÎï?ÉãÓ°?ÃÀÊ³?¶¬¼¾,132000
ÂåÑô,ÂåÑô¡ª¡ªÒ»×ù±»ÒÅÍüµÄÇ§Äê¹Å¶¼,/2018/06/11,4,700,¶À×ÔÒ»ÈË,ÇîÓÎ?ÂþÓÎ?ÃÀÊ³?ÈËÎÄ?ÏÄ¼¾,8041
¹þ¶û±õ,ºÚÁú½­Å¯Ñô¸ßÕÕ¡ª¼¸¸ö¶º±ÈÇàÄêµÄÏ·Ñ©¼Ç¡¾¹þ¶û±õ-Ñ©Ïç¡¿,/2018/12/10,4,2100,ÈýÎåºÃÓÑ,¶¬¼¾,11000
¹þ¶û±õ,¡¾¹þ¶û±õ×îÍúÏã»ðÖ¸ÄÏ¡¿Õâ´Î£¬ÎÒÃÇ»³×Å³ç¾´µÄÐÄ×ß½ø±ù³Ç£¡,/2018/12/27,1,10,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?ÈËÎÄ?´º½Ú?¶¬¼¾?º®¼Ù,11000
ÄÏ¾©,½üÓÚìø¾³£¬´ïÓÚÐÄÁé£¬Å£Ê×É½À¿Ê¤¾²ÐÄÖ®ÐÐ,/2018/12/15,2,2000,ÈýÎåºÃÓÑ,µÚÒ»´Î,8567
ÖØÇì,×íÃÀÈýÏ¿ÂÃÐÐ¼¾£¬ÉÍÎ×É½ºìÒ¶£¬ºÍµÚÒ»³¡Ñ©À´Ò»´ÎÃÀÀöµÄåâåË£¡£¡,/2018/12/08,4,700,ÈýÎåºÃÓÑ,×Ô¼Ý?¶¬¼¾,11000
¼ªÊ×,ÏæÎ÷¼ªÊ×ËÄÈÕ×ÔÓÉÐÐ,/2018/12/21,4,1000,Ñ§Éú,ÇîÓÎ?¹ÅÕò?¶¬¼¾,27000
ËÕÖÝ,°®ÔÚÈÕÂä»Æ»èÊ±£¬Ì½ÃØÌ«ºþµº¾ÓÉú»î,/2018/12/17,3,2000,ÈýÎåºÃÓÑ,µÚÒ»´Î?Éî¶ÈÓÎ?Í½²½?¹ÅÕò?ÉãÓ°?¶¬¼¾,6594
ÖØÇì,Ê³¡°Éã¡±É½³Ç--ÐÄÐÄÄîÄîµÄÖØÇìÖ®ÂÃ,/2018/12/24,2,1000,¶À×ÔÒ»ÈË,µÚÒ»´Î?Éî¶ÈÓÎ?¹ÅÕò?ÉãÓ°?ÃÀÊ³?ÈËÎÄ,14000
º£ÑÎ,¡¾Ê«»­Õã½­¡¿Õã½­³ýÁËº¼ÖÝÎ÷ºþ£¬»¹ÓÐ¼ÎÐËÄÏºþ£¬¸üÓÐº£ÑÎÐÓ»á,/2018/12/15,2,1000,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?ÃÀÊ³?¶¬¼¾,60000
ÃÜÔÆ,¹Å±±Ë®Õò¾©½¼ÓÐ½­ÄÏ£¨¸½Ë¾ÂíÌ¨³¤³Ç¹¥ÂÔ£©,/2017/05/20,2,500,ÈýÎåºÃÓÑ,¶ÌÍ¾ÖÜÄ©?¹ÅÕò,3169
